company,city,state,industry,amount_raised_usd,exec_contact,exec_title,filing
Star Catcher Industries Inc.,JACKSONVILLE,FL,Other Technology,"$64,999,966",Andrew Rush,Executive Officer,https://www.sec.gov/Archives/edgar/data/2136299/000213629926000001/primary_doc.xml
"Farmers State Bancshares, Inc./NE",HICKMAN,NE,Commercial Banking,"$15,000,000",Richard Stull,Executive Officer,https://www.sec.gov/Archives/edgar/data/2135930/000213593026000001/primary_doc.xml
"Piston Technologies, Inc.",Cupertino,CA,Other,"$14,999,991",Vikram Sekhon,Executive Officer,https://www.sec.gov/Archives/edgar/data/2070089/000207008926000002/primary_doc.xml
Heirloom UK Legal Funding SPV 2024,GEORGE TOWN,E9,Investing,"$8,100,000",Geoff Dover,Executive Officer,https://www.sec.gov/Archives/edgar/data/2079063/000207906326000001/primary_doc.xml
"CB-Emmanuel Realty, LLC",QUEENS VILLAGE,NY,Other Real Estate,"$6,000,000",Benathan Upshaw,Executive Officer,https://www.sec.gov/Archives/edgar/data/2136829/000213682926000001/primary_doc.xml
Dynamic Creatures Inc.,SAN FRANCISCO,CA,Other Technology,"$6,000,000",MARC THEERMANN,Executive Officer,https://www.sec.gov/Archives/edgar/data/2136541/000213654126000001/primary_doc.xml
"Miami Club, LLC",MEMPHIS,TN,Other,"$5,400,000","Praxis Racquet Group, LLC .",Executive Officer,https://www.sec.gov/Archives/edgar/data/2132243/000213224326000001/primary_doc.xml
"Rely Intelligence, Inc.",KENNEBUNK,ME,Other Technology,"$4,481,499",George Matelich,Executive Officer,https://www.sec.gov/Archives/edgar/data/2133987/000213398726000001/primary_doc.xml
"Endeavor Orthopaedics, Inc.",TULSA,OK,Other Health Care,"$3,209,998",Greg Parranto,Executive Officer,https://www.sec.gov/Archives/edgar/data/2137100/000213710026000001/primary_doc.xml
"Use Steward, Inc.",SAN FRANCISCO,CA,Other Banking and Financial Services,"$2,999,990",David Meister,Executive Officer,https://www.sec.gov/Archives/edgar/data/2071749/000207174926000001/primary_doc.xml
Sangtera Inc.,LOWELL,MA,Other Technology,"$2,500,000",Tairan Wang,Executive Officer,https://www.sec.gov/Archives/edgar/data/2122421/000212242126000003/primary_doc.xml
GL-Carriage House LLC,PORTLAND,OR,Commercial,"$2,365,000",Mark Desbrow,Executive Officer,https://www.sec.gov/Archives/edgar/data/2137713/000213771326000001/primary_doc.xml
Route 9 Acq Co LLC,SOUDERTON,PA,Other Real Estate,"$1,950,000",Stephen Lalor,Executive Officer,https://www.sec.gov/Archives/edgar/data/2137103/000213710326000001/primary_doc.xml
"Aarogya Tech, Inc.",READING,PA,Other Technology,"$1,925,000",Prashant Trivedi,Director,https://www.sec.gov/Archives/edgar/data/2134407/000213440726000001/primary_doc.xml
VALKYRIE III a Series of Opulentia Ventures X LLC,FAIRFAX,VA,Investing,"$250,000",Manish Malhotra,Promoter,https://www.sec.gov/Archives/edgar/data/2132746/000213274626000001/primary_doc.xml
"USPD Hamburg Self Storage Development, LLC",FORT WORTH,TX,Construction,"$200,000",N/A U.S. Property Development Management LLC,Executive Officer,https://www.sec.gov/Archives/edgar/data/2066898/000206689826000002/primary_doc.xml
Kydra Capital Fund I LLC,NEW YORK,NY,Other Real Estate,"$195,000",Keshav Kolur,Executive Officer,https://www.sec.gov/Archives/edgar/data/2135919/000213591926000001/primary_doc.xml
Institutional Drilling Fund III LP,FORT WORTH,TX,Oil and Gas,"$150,000",N/A U.S. Energy Development Corporation,Executive Officer,https://www.sec.gov/Archives/edgar/data/2107894/000210789426000003/primary_doc.xml
"Matthias Therapeutics, LLC",BASKING RIDGE,NJ,Pharmaceuticals,"$50,000",Matthew Redling,Executive Officer,https://www.sec.gov/Archives/edgar/data/2104165/000210416526000003/primary_doc.xml
"Wizards & Misfits, Inc.",OWATONNA,MN,Other Technology,"$50,000",Sean Williams,Executive Officer,https://www.sec.gov/Archives/edgar/data/2092467/000209246726000001/primary_doc.xml
Jals Inc.,BROOKLYN,NY,Other,"$50,000",Jonathan Rao,Director,https://www.sec.gov/Archives/edgar/data/2137742/000213774226000001/primary_doc.xml
"DoneCast, Inc.",GLENDALE,CA,Business Services,"$45,000",Benjamin Gerhardt,Executive Officer,https://www.sec.gov/Archives/edgar/data/2113044/000211304426000001/primary_doc.xml
"OpsCo, Inc.",LENEXA,KS,Other Technology,"$14,500",Jack Kelly,Executive Officer,https://www.sec.gov/Archives/edgar/data/2137636/000213763626000001/primary_doc.xml
"D & H Fire Protection, Inc.",SAN DIMAS,CA,Other Real Estate,$100,SEAN HAYES,Executive Officer,https://www.sec.gov/Archives/edgar/data/2132181/000213218126000001/primary_doc.xml
"Strucvue Medical, Inc.",SACRAMENTO,CA,Other Health Care,$100,Noam Seker Gafni,Executive Officer,https://www.sec.gov/Archives/edgar/data/2137785/000213778526000001/primary_doc.xml
